HomeTeam,AwayTeam,H,D,A,Prediction
Arsenal,Man City,0.10748281,0.20737964,0.68513757,A
Swansea,Middlesbrough,0.74710613,0.1671663,0.08572752,H
Burnley,Stoke,0.33986998,0.30531105,0.35481897,A
Leicester,Sunderland,0.7370227,0.17790227,0.0850751,H
Man United,Everton,0.44315225,0.2764799,0.28036785,H
Watford,West Brom,0.6778074,0.18429363,0.13789897,H
Arsenal,West Ham,0.49180987,0.29095915,0.21723105,H
Chelsea,Man City,0.5352688,0.26959163,0.19513956,H
Hull,Middlesbrough,0.18597312,0.2560293,0.5579975,A
Liverpool,Bournemouth,0.323654,0.30039734,0.37594867,A
Southampton,Crystal Palace,0.49701265,0.2920994,0.21088803,H
Swansea,Tottenham,0.70762,0.2857905,0.006589456,H
Bournemouth,Chelsea,0.38301146,0.30126992,0.3157186,H
Man City,Hull,0.33629093,0.27810562,0.38560343,A
Middlesbrough,Burnley,0.15985124,0.24436215,0.5957866,A
Stoke,Liverpool,0.43307737,0.28724083,0.2796818,H
Tottenham,Watford,0.82907146,0.1279964,0.042932156,H
West Brom,Southampton,0.40529704,0.30452046,0.2901824,H
West Ham,Swansea,0.5038912,0.28203246,0.21407625,H
Everton,Leicester,0.2190073,0.2708489,0.5101439,A
Sunderland,Man United,0.40391022,0.30243406,0.29365575,H
Crystal Palace,Arsenal,0.4676273,0.29922578,0.2331469,H
Crystal Palace,Leicester,0.81530225,0.13749522,0.04720257,H
Everton,Burnley,0.39019638,0.29485,0.31495366,H
Southampton,Man City,0.8633356,0.108026505,0.028637923,H
Stoke,Hull,0.4791548,0.29359856,0.22724664,H
Sunderland,West Ham,0.7073604,0.19359581,0.09904386,H
Tottenham,Bournemouth,0.38363785,0.28505015,0.33131197,H
Watford,Swansea,0.3613476,0.3069532,0.33169925,H
Man United,Chelsea,0.05644971,0.15928529,0.784265,A
West Brom,Liverpool,0.39933747,0.24807212,0.3525905,H
Middlesbrough,Arsenal,0.4163209,0.30600736,0.27767175,H
Bournemouth,Middlesbrough,0.7988932,0.14127234,0.059834417,H
Hull,Watford,0.44054103,0.29155576,0.2679032,H
Swansea,Stoke,0.78265077,0.15192431,0.06542495,H
West Ham,Everton,0.62463516,0.23981185,0.13555297,H
Burnley,Man United,0.42265287,0.30795854,0.26938862,H
Liverpool,Crystal Palace,0.57921916,0.25535548,0.16542538,H
Chelsea,Southampton,0.26251677,0.3192174,0.4182658,A
Arsenal,Leicester,0.2127052,0.24372728,0.54356754,A
Crystal Palace,Tottenham,0.3036438,0.2986252,0.397731,A
Middlesbrough,Sunderland,0.15658832,0.23589101,0.6075207,A
Man City,Man United,0.30566868,0.30070248,0.39362887,A
Crystal Palace,Burnley,0.46211076,0.28744787,0.2504414,H
Southampton,Hull,0.41476306,0.30103272,0.28420416,H
Stoke,West Ham,0.81105745,0.13644838,0.052494157,H
Sunderland,Bournemouth,0.24385966,0.29000884,0.46613157,A
West Brom,Leicester,0.13990317,0.23550187,0.624595,A
Everton,Chelsea,0.38812828,0.3104492,0.30142254,H
Man United,Swansea,0.7447964,0.24353671,0.011666964,H
Middlesbrough,Man City,0.70491993,0.19540098,0.09967911,H
Tottenham,Arsenal,0.7377349,0.16962135,0.09264377,H
Watford,Liverpool,0.6169308,0.23965478,0.1434144,H
West Ham,Tottenham,0.47854453,0.28958854,0.23186696,H
Bournemouth,Stoke,0.48342812,0.29187247,0.2246994,H
Burnley,West Brom,0.7632345,0.16911633,0.06764919,H
Hull,Sunderland,0.45943335,0.28148147,0.25908524,H
Leicester,Watford,0.59767413,0.24901168,0.15331416,H
Man City,Crystal Palace,0.24326998,0.24440353,0.5123265,A
Swansea,Everton,0.65398335,0.3098552,0.036161486,H
Arsenal,Man United,0.68001854,0.2127917,0.10718973,H
Liverpool,Southampton,0.54488295,0.2382112,0.21690586,H
Chelsea,Middlesbrough,0.069036126,0.17145984,0.759504,A
Southampton,Arsenal,0.27956304,0.2794265,0.44101045,A
Everton,Watford,0.37562186,0.31247148,0.31190667,H
West Brom,Chelsea,0.552816,0.26708776,0.18009621,H
Bournemouth,Burnley,0.80860156,0.13951138,0.05188706,H
Man City,Leicester,0.33014143,0.31298402,0.3568745,A
Middlesbrough,Southampton,0.34976682,0.29911628,0.35111693,A
Stoke,Arsenal,0.103283055,0.21096198,0.68575495,A
Sunderland,Swansea,0.07653465,0.18995409,0.73351127,A
Crystal Palace,Hull,0.15883297,0.22680932,0.6143577,A
Tottenham,Man United,0.18709603,0.25196633,0.56093764,A
West Ham,Liverpool,0.34878796,0.30253735,0.3486747,H
Chelsea,Watford,0.77679545,0.14808317,0.07512137,H
Arsenal,Sunderland,0.31099293,0.31141302,0.37759402,A
Man City,West Brom,0.7661003,0.15973404,0.07416569,H
Southampton,Man United,0.42361546,0.3091333,0.26725128,H
Leicester,Tottenham,0.54115653,0.27516016,0.18368335,H
Arsenal,Everton,0.37695205,0.31349587,0.30955207,H
Burnley,West Ham,0.6460265,0.2032077,0.15076579,H
Chelsea,Sunderland,0.68278635,0.21491532,0.10229833,H
Hull,Tottenham,0.56413436,0.25419897,0.18166664,H
Leicester,Bournemouth,0.3440883,0.31366634,0.3422454,H
Liverpool,Middlesbrough,0.10854984,0.20505506,0.68639517,A
Man United,Crystal Palace,0.5542013,0.2669812,0.17881745,H
Southampton,Stoke,0.59609514,0.24392246,0.15998237,H
Swansea,West Brom,0.5175544,0.26865152,0.21379413,H
Watford,Man City,0.6090064,0.23447782,0.15651575,H
Arsenal,Leicester,0.6068121,0.26639974,0.12678817,H
Brighton,Man City,0.1292541,0.202439,0.6683069,A
Chelsea,Burnley,0.2297414,0.29151115,0.4787474,A
Crystal Palace,Huddersfield,0.76224935,0.16305988,0.074690714,H
Everton,Stoke,0.45219818,0.2937605,0.25404134,H
Southampton,Swansea,0.46849388,0.304422,0.22708406,H
Watford,Liverpool,0.6030843,0.21456948,0.18234622,H
West Brom,Bournemouth,0.43737903,0.2962448,0.26637623,H
Man United,West Ham,0.26735407,0.27948278,0.45316315,A
Newcastle,Tottenham,0.2528665,0.27971575,0.4674177,A
Bournemouth,Watford,0.14458251,0.2274342,0.62798333,A
Burnley,West Brom,0.73087186,0.1781677,0.09096051,H
